kind,leg,kwarg,dtype,test,usd_irs,usd_irs_lt_2y,gbp_irs,eur_irs,sek_irs,nok_irs,chf_irs,cad_irs,cad_irs_le_1y,jpy_irs,aud_irs6,aud_irs3,aud_irs,eur_irs6,eur_irs3,eur_irs1,sek_irs3,nok_irs3,nok_irs6,eurusd_xcs,gbpusd_xcs,eurgbp_xcs,gbpeur_xcs,jpyusd_xcs,eur_zcis,gbp_zcis,usd_zcis,gbp_zcs,sek_iirs,eur_sbs36,nok_sbs36,us_gb,us_gb_tsy,uk_gb,de_gb,fr_gb,nl_gb,it_gb,se_gb,no_gb,ca_gb,us_gbb,se_gbb,gbp_gbi,sek_fra3,eur_fra3,eur_fra6,eur_fra1,nok_fra3,nok_fra6,usd_frn5,usd_stir,usd_stir1,eur_stir,eur_stir1,eur_stir3,gbp_stir
meta,meta,currency,str,TES,usd,usd,gbp,eur,sek,nok,chf,cad,cad,jpy,aud,aud,aud,eur,eur,eur,sek,nok,nok,eur/usd,gbp/usd,eur/gbp,gbp/eur,jpy/usd,eur,gbp,usd,gbp,sek_iirs,eur,nok,usd,usd,gbp,eur,eur,eur,eur,sek,nok,cad,usd,sek,gbp,sek,eur,eur,eur,nok,nok,usd,usd,usd,eur,eur,eur,gbp
base_derivative,leg1,calendar,str,"nyc,tgt,ldn",nyc,nyc,ldn,tgt,stk,osl,zur,tro,tro,tyo,syd,syd,syd,tgt,tgt,tgt,stk,osl,osl,"tgt,nyc","ldn,nyc","tgt,ldn","tgt,ldn","nyc,tyo",tgt,ldn,nyc,ldn,stk,tgt,osl,nyc,nyc,ldn,tgt,tgt,tgt,tgt,stk,osl,tro,nyc,stk,ldn,stk,tgt,tgt,tgt,osl,osl,nyc,nyc,nyc,tgt,tgt,tgt,ldn
base_derivative,leg1,payment_lag,int,4,2,2,0,1,1,2,2,1,1,2,0,0,2,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
base_derivative,leg1,notional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base_derivative,leg1,currency,str,tes,usd,usd,gbp,eur,sek,nok,chf,cad,cad,jpy,aud,aud,aud,eur,eur,eur,sek,nok,nok,eur,gbp,eur,gbp,jpy,eur,gbp,usd,gbp,sek,eur,nok,usd,usd,gbp,eur,eur,eur,eur,sek,nok,cad,usd,sek,gbp,sek,eur,eur,eur,nok,nok,usd,usd,usd,eur,eur,eur,gbp
base_derivative,leg1,amortization,float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base_derivative,leg1,convention,str,test,act360,act360,act365f,act360,act360,act365f,act360,act365f,act365f,act365f,act365f,act365f,act365f,30e360,30e360,30e360,30e360,30e360,30e360,act360,act365f,act360,act365f,act365f,1+,1+,1+,act365f,actacticma,act360,act360,actacticma,actacticma,actacticma,actacticma,actacticma,actacticma,actacticma,actacticma,actacticma_stub365f,actacticma_stub365f,act360,act360,actacticma,act360,act360,act360,act360,act360,act360,act360,act360,act360,act360,act360,act360,act365f
base_derivative,leg2,effective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base_derivative,leg2,termination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base_derivative,leg2,frequency,str,m,,,,,,,,,,,,,,s,q,m,q,q,s,,,,,,,,,,q,s,s,,,,,,,,,,,,,,,,,,,,,,,,,,
base_derivative,leg2,stub,str,longback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
